filename,tissue_type
Paciente C_CWRM3.jpg,NI
Paciente C_CWRM4.jpg,NI
Paciente C_CWRM5.jpg,NI
Paciente C_CWRM6.jpg,NI
Paciente C_CWRM7.jpg,NI
Paciente C_CWRM8.jpg,NI
Paciente C_CWRM9.jpg,NI
Paciente C_FT1.jpg,NI
Paciente C_FT2.jpg,NI
PacienteB_AM_05 T0.JPG,Esfacelo
PacienteB_AM_05 T4.JPG,NI
PacienteB_AM_05 T8.JPG,Epitelização
PacienteB_CCSA_01 T0.JPG,NI
PacienteB_CCSA_01 T4.JPG,NI
PacienteB_CCSA_01 T8.JPG,Granulação
PacienteB_CCSA_02 T0.JPG,Esfacelo
PacienteB_CCSA_02 T7.JPG,Epitelização
PacienteB_CPA_13 T0.png,Esfacelo
PacienteB_CPA_13 T2.png,Esfacelo
PacienteB_CPA_13 T4.JPG,Granulação
PacienteB_CRRD_04 T1.png,Granulação
PacienteB_CRRD_04 T4.png,Granulação
PacienteB_CRRD_04 T8.png,Granulação
PacienteB_JNS_09 T0.JPG,Granulação
PacienteB_JNS_09 T4.JPG,Granulação
PacienteB_JNS_09 T8.JPG,NI
PacienteB_PEA_16 T0.JPG,NI
PacienteB_PEA_16 T4.JPG,NI
PacienteB_TSO_06 T0.png,Granulação
PacienteB_TSO_06 T10.png,Granulação
PacienteB_TSO_06 T4.png,Granulação
PacienteB_VFS_10 T0.png,Granulação
PacienteB_VFS_10 T4.png,Granulação
PacienteB_VFS_10 T8.png,Granulação
PacienteC_JAL1.jpg,NI
PacienteC_JAL2.jpg,Epitelização
PacienteC_JAL3.jpg,NI
PacienteC_JAL4.jpg,Granulação
PacienteC_JEMP1.jpg,Granulação
PacienteC_JEMP2.jpg,Granulação
PacienteC_JEMP3.jpg,Granulação
PacienteC_JEMP4.jpg,Granulação
PacienteC_JEMP5.jpg,Granulação
PacienteC_JMC1.jpg,Necrose
PacienteC_JMC2.jpg,NI
PacienteC_LCR1.jpg,NI
PacienteC_LEL1.jpg,NI
PacienteC_LEL2.jpg,NI
PacienteC_LEL3.jpg,NI
PacienteC_LEL4.jpg,NI
PacienteC_MARR1.jpg,NI
PacienteC_MARR10.jpg,NI
PacienteC_MARR11.jpg,NI
PacienteC_MARR12.jpg,Granulação
PacienteC_MARR13.jpg,Granulação
PacienteC_MARR2.jpg,NI
PacienteC_MARR3.jpg,NI
PacienteC_MARR4.jpg,Granulação
PacienteC_MARR5.jpg,Granulação
PacienteC_MARR6.jpg,NI
PacienteC_MARR7.jpg,NI
PacienteC_MARR8.jpg,Granulação
PacienteC_MARR9.jpg,NI
PacienteC_MEB1.jpg,Necrose
PacienteC_MEB10.jpg,Granulação
PacienteC_MEB11.jpg,Esfacelo
PacienteC_MEB12.jpg,Esfacelo
PacienteC_MEB13.jpg,Esfacelo
PacienteC_MEB14.jpg,Esfacelo
PacienteC_MEB15.jpg,Esfacelo
PacienteC_MEB16.jpg,Esfacelo
PacienteC_MEB17.jpg,Esfacelo
PacienteC_MEB18.jpg,Esfacelo
PacienteC_MEB19.jpg,Esfacelo
PacienteC_MEB2.jpg,Necrose
PacienteC_MEB20.jpg,NI
PacienteC_MEB21.jpg,NI
PacienteC_MEB22.jpg,NI
PacienteC_MEB23.jpg,NI
PacienteC_MEB24.jpg,NI
PacienteC_MEB25.jpg,NI
PacienteC_MEB26.jpg,NI
PacienteC_MEB27.jpg,NI
PacienteC_MEB28.jpg,NI
PacienteC_MEB3.jpg,NI
PacienteC_MEB4.jpg,Esfacelo
PacienteC_MEB5.jpg,Esfacelo
PacienteC_MEB6.jpg,Esfacelo
PacienteC_MEB7.jpg,Esfacelo
PacienteC_MEB8.jpg,Esfacelo
PacienteC_MEB9.jpg,Esfacelo
PacienteC_MFL1.jpg,NI
PacienteC_MFL2.jpg,NI
PacienteC_MGFL1.jpg,NI
PacienteC_MGFL2.jpg,NI
PacienteC_MGFL3.jpg,Granulação
PacienteC_MGFL4.jpg,Granulação
PacienteC_MRFO1.jpg,NI
PacienteC_MRFO10.jpg,NI
PacienteC_MRFO11.jpg,NI
PacienteC_MRFO12.jpg,NI
PacienteC_MRFO13.jpg,NI
PacienteC_MRFO14.jpg,NI
PacienteC_MRFO15.jpg,NI
PacienteC_MRFO16.jpg,NI
PacienteC_MRFO17.jpg,NI
PacienteC_MRFO18.jpg,NI
PacienteC_MRFO2.jpg,NI
PacienteC_MRFO3.jpg,Granulação
PacienteC_MRFO4.jpg,NI
PacienteC_MRFO5.jpg,Granulação
PacienteC_MRFO6.jpg,Granulação
PacienteC_MRFO7.jpg,NI
PacienteC_MRFO8.jpg,NI
PacienteC_MRFO9.jpg,NI
PacienteC_outro1.jpg,NI
PacienteC_outro2.jpg,Necrose
PacienteC_outro3.jpg,Granulação
PacienteC_outro4.jpg,Esfacelo
PacienteC_outro5.jpg,NI
PacienteC_outro6.jpg,NI
PAcienteC_outro7.jpg,NI
PacienteC_PAA1.jpg,Necrose
PacienteC_PAA2.jpg,Necrose
PacienteC_PAA3.jpg,Necrose
PacienteC_PAA4.jpg,Necrose
PacienteC_PAA5.jpg,Necrose
PacienteC_PAA6.jpg,Necrose
PacienteC_PAA7.jpg,Necrose
PacienteC_RBDO1.jpg,NI
PacienteC_RBDO2.jpg,NI
PacienteC_RBDO3.jpg,NI
PacienteC_RBDO4.jpg,NI
PacienteC_RBDO5.jpg,NI
PacienteC_SAAmp.1.jpg,NI
PacienteC_SAAmp.2.jpg,NI
PacienteC_SAAmp.3.jpg,NI
PacienteC_SAAmp.4.jpg,NI
PacienteC_SAAmp.5.jpg,NI
PacienteC_SAAmp.6.jpg,NI
PacienteC_SAAmp.7.jpg,NI
PacienteC_SROC1.jpg,NI
PacienteC_SROC10.jpg,NI
PacienteC_SROC11.jpg,NI
PacienteC_SROC12.jpg,NI
PacienteC_SROC13.jpg,NI
PacienteC_SROC14.jpg,NI
PacienteC_SROC15.jpg,NI
PacienteC_SROC16.jpg,NI
PacienteC_SROC17.jpg,NI
PacienteC_SROC18.jpg,NI
PacienteC_SROC19.jpg,NI
PacienteC_SROC2.jpg,NI
PacienteC_SROC20.jpg,NI
PacienteC_SROC21.jpg,NI
PacienteC_SROC22.jpg,NI
PacienteC_SROC23.jpg,NI
PacienteC_SROC24.jpg,NI
PacienteC_SROC25.jpg,NI
PacienteC_SROC26.jpg,NI
PacienteC_SROC27.jpg,NI
PacienteC_SROC28.jpg,NI
PacienteC_SROC29.jpg,NI
PacienteC_SROC3.jpg,NI
PacienteC_SROC30.jpg,NI
PacienteC_SROC31.jpg,NI
PacienteC_SROC32.jpg,NI
PacienteC_SROC33.jpg,NI
PacienteC_SROC34.jpg,NI
PacienteC_SROC35.jpg,NI
PacienteC_SROC36.jpg,NI
PacienteC_SROC37.jpg,NI
PacienteC_SROC38.jpg,NI
PacienteC_SROC4.jpg,NI
PacienteC_SROC5.jpg,NI
PacienteC_SROC6.jpg,NI
PacienteC_SROC7.jpg,NI
PacienteC_SROC8.jpg,NI
PacienteC_SROC9.jpg,NI
PacienteC_SRTO1.jpg,Esfacelo
PacienteC_SRTO2.jpg,Esfacelo
PacienteC_VCN1.jpg,Granulação
PacienteC_VCN2.jpg,Granulação
PacienteC_VCN3.jpg,NI
PacienteC_VCN4.jpg,Granulação
PacienteC_VCN5.jpg,Granulação
PacienteC_VCN6.jpg,NI
PacienteC_VCN7.jpg,Granulação
PacienteC_VCN8.jpg,Granulação
PacienteC_VCN9.jpg,Granulação
PacienteC_WM_amp1.jpg,NI
PacienteC_WM_amp2.jpg,NI
PacienteC_WM_amp3.jpg,NI
toes-0001.jpg,NI
toes-0002.jpg,NI
toes-0003.jpg,NI
toes-0004.jpg,NI
toes-0005.jpg,NI
toes-0006.jpg,NI
toes-0007.jpg,NI
toes-0008.jpg,NI
toes-0009.jpg,NI
toes-0010.jpg,NI
toes-0011.jpg,NI
toes-0013.jpg,Esfacelo
toes-0014.jpg,NI
toes-0015.jpg,NI
toes-0016.jpg,Esfacelo
toes-0018.jpg,Granulação
toes-0019.jpg,Esfacelo
toes-0020.jpg,Esfacelo
toes-0021.jpg,Necrose
toes-0022.jpg,NI
toes-0023.jpg,NI
toes-0024.jpg,NI
toes-0025.jpg,NI
toes-0029.jpg,NI
toes-0030.jpg,NI
toes-0031.jpg,NI
toes-0032.jpg,NI
toes-0035.jpg,NI
toes-0036.jpg,NI
toes-0039.jpg,NI
toes-0040.jpg,NI
toes-0041.jpg,NI
toes-0042.jpg,NI
toes-00431.jpg,NI
1.jpg,Esfacelo
11 T0.JPG,Granulação
11 T4.JPG,Granulação
11 T8.JPG,Granulação
2.jpg,Esfacelo
3.jpg,Esfacelo
4.jpg,Esfacelo
5.jpg,Esfacelo
Alz (1).png,Granulação
Alz (10).jpg,NI
Alz (100).jpg,Granulação
Alz (101).jpg,Esfacelo
Alz (102).jpg,NI
Alz (103).jpg,NI
Alz (104).jpg,NI
Alz (105).jpg,Esfacelo
Alz (106).jpg,Granulação
Alz (107).jpg,NI
Alz (108).jpg,NI
Alz (109).jpg,NI
Alz (11).jpg,NI
Alz (110).jpg,NI
Alz (111).jpg,NI
Alz (112).jpg,NI
Alz (113).jpg,NI
Alz (114).jpg,Granulação
Alz (115).jpg,Granulação
Alz (116).jpg,Granulação
Alz (117).jpg,NI
Alz (118).jpg,NI
Alz (119).jpg,NI
Alz (120).jpg,NI
Alz (121).jpg,NI
Alz (122).jpg,NI
Alz (123).jpg,NI
Alz (124).jpg,NI
Alz (125).jpg,NI
Alz (126).jpg,NI
Alz (127).jpg,NI
Alz (128).jpg,NI
Alz (129).jpg,NI
Alz (13).jpg,Granulação
Alz (130).jpg,Esfacelo
Alz (131).jpg,Necrose
Alz (132).jpg,Esfacelo
Alz (133).jpg,Esfacelo
Alz (134).jpg,Granulação
Alz (135).jpg,Granulação
Alz (136).jpg,NI
Alz (137).jpg,NI
Alz (138).jpg,Granulação
Alz (139).jpg,NI
Alz (14).jpg,NI
Alz (140).jpg,Necrose
Alz (141).jpg,NI
Alz (142).jpg,Necrose
Alz (143).jpg,NI
Alz (144).jpg,Necrose
Alz (145).jpg,NI
Alz (146).jpg,Esfacelo
Alz (147).jpg,NI
Alz (148).jpg,NI
Alz (149).jpg,NI
Alz (15).jpg,Esfacelo
Alz (150).jpg,NI
Alz (151).jpg,NI
Alz (152).jpg,Esfacelo
Alz (153).jpg,Granulação
Alz (154).jpg,Esfacelo
Alz (155).jpg,Granulação
Alz (156).jpg,Esfacelo
Alz (157).jpg,NI
Alz (158).jpg,NI
Alz (159).jpg,Esfacelo
Alz (16).jpg,NI
Alz (160).jpg,NI
Alz (161).jpg,Granulação
Alz (162).jpg,Esfacelo
Alz (163).jpg,Esfacelo
Alz (164).jpg,Granulação
Alz (165).jpg,NI
Alz (166).jpg,NI
Alz (167).jpg,NI
Alz (168).jpg,NI
Alz (169).jpg,Granulação
Alz (17).jpg,Granulação
Alz (170).jpg,Esfacelo
Alz (171).jpg,Esfacelo
Alz (172).jpg,Esfacelo
Alz (173).jpg,NI
Alz (174).jpg,Granulação
Alz (175).jpg,NI
Alz (176).jpg,Necrose
Alz (177).jpg,NI
Alz (178).jpg,NI
Alz (179).jpg,Necrose
Alz (18).jpg,NI
Alz (180).jpg,NI
Alz (181).jpg,NI
Alz (182).jpg,NI
Alz (183).jpg,NI
Alz (184).jpg,Granulação
Alz (185).jpg,NI
Alz (186).jpg,NI
Alz (187).jpg,NI
Alz (188).jpg,NI
Alz (189).jpg,Granulação
Alz (19).jpg,NI
Alz (190).jpg,NI
Alz (191).jpg,NI
Alz (192).jpg,Granulação
Alz (193).jpg,Granulação
Alz (194).jpg,Granulação
Alz (195).jpg,NI
Alz (196).jpg,NI
Alz (197).jpg,NI
Alz (198).jpg,NI
Alz (199).jpg,NI
Alz (2).png,Granulação
Alz (20).JPG,Granulação
Alz (200).jpg,Granulação
Alz (201).jpg,Granulação
Alz (202).jpg,Granulação
Alz (203).jpg,Granulação
Alz (204).jpg,NI
Alz (205).jpg,NI
Alz (206).jpg,NI
Alz (207).jpg,Granulação
Alz (208).jpg,NI
Alz (209).jpg,Granulação
Alz (21).jpg,NI
Alz (210).jpg,NI
Alz (211).jpg,Granulação
Alz (212).jpg,NI
Alz (213).jpg,Granulação
Alz (214).jpg,NI
Alz (215).jpg,Esfacelo
Alz (216).jpg,NI
Alz (217).jpg,Granulação
Alz (218).jpg,NI
Alz (219).jpg,NI
Alz (22).jpg,NI
Alz (220).jpg,NI
Alz (221).jpg,NI
Alz (222).jpg,NI
Alz (223).jpg,NI
Alz (224).jpg,Granulação
Alz (225).jpg,NI
Alz (226).jpg,NI
Alz (227).jpg,NI
Alz (228).jpg,NI
Alz (229).jpg,NI
Alz (23).jpg,NI
Alz (230).jpg,NI
Alz (231).jpg,NI
Alz (232).jpg,NI
Alz (233).jpg,NI
Alz (234).jpg,NI
Alz (235).jpg,NI
Alz (236).jpg,NI
Alz (237).jpg,NI
Alz (238).jpg,NI
Alz (239).jpg,NI
Alz (24).jpg,Granulação
Alz (240).jpg,NI
Alz (241).jpg,NI
Alz (242).jpg,NI
Alz (243).jpg,NI
Alz (244).jpg,NI
Alz (245).jpg,NI
Alz (246).jpg,NI
Alz (247).jpg,Esfacelo
Alz (248).jpg,NI
Alz (249).jpg,NI
Alz (25).jpg,Granulação
Alz (250).jpg,NI
Alz (251).jpg,NI
Alz (252).jpg,NI
Alz (253).jpg,NI
Alz (254).jpg,Granulação
Alz (255).jpg,NI
Alz (256).jpg,NI
Alz (257).jpg,NI
Alz (258).jpg,NI
Alz (259).jpg,NI
Alz (26).jpg,NI
Alz (260).jpg,NI
Alz (261).jpg,NI
Alz (262).jpg,NI
Alz (263).jpg,NI
Alz (264).jpg,NI
Alz (265).jpg,NI
Alz (266).jpg,NI
Alz (267).jpg,NI
Alz (268).jpg,NI
Alz (269).jpg,NI
Alz (27).jpg,NI
Alz (270).jpg,NI
Alz (271).jpg,NI
Alz (272).jpg,NI
Alz (273).jpg,NI
Alz (274).jpg,NI
Alz (275).jpg,NI
Alz (276).jpg,NI
Alz (277).jpg,NI
Alz (278).jpg,Necrose
Alz (279).jpg,Necrose
Alz (28).jpg,Granulação
Alz (280).jpg,NI
Alz (281).jpg,NI
Alz (282).jpg,NI
Alz (283).jpg,NI
Alz (284).jpg,NI
Alz (285).jpg,NI
Alz (286).jpg,NI
Alz (287).jpg,NI
Alz (288).jpg,NI
Alz (289).jpg,NI
Alz (29).jpg,Granulação
Alz (290).jpg,NI
Alz (291).jpg,NI
Alz (292).jpg,NI
Alz (293).jpg,NI
Alz (294).jpg,NI
Alz (295).jpg,NI
Alz (296).jpg,Esfacelo
Alz (297).jpg,NI
Alz (298).jpg,NI
Alz (299).jpg,NI
Alz (3).png,NI
Alz (30).JPG,NI
Alz (300).jpg,NI
Alz (301).jpg,NI
Alz (302).jpg,NI
Alz (303).jpg,NI
Alz (304).jpg,NI
Alz (305).jpg,NI
Alz (306).jpg,NI
Alz (307).jpg,Esfacelo
Alz (308).jpg,Granulação
Alz (309).jpg,NI
Alz (31).jpg,Granulação
Alz (310).jpg,Esfacelo
Alz (311).jpg,NI
Alz (312).jpg,Necrose
Alz (313).jpg,NI
Alz (314).jpg,Granulação
Alz (315).jpg,Granulação
Alz (316).jpg,Granulação
Alz (317).jpg,NI
Alz (318).jpg,NI
Alz (319).jpg,NI
Alz (32).jpg,NI
Alz (320).jpg,NI
Alz (321).jpg,Esfacelo
Alz (322).jpg,NI
Alz (323).jpg,NI
Alz (324).jpg,NI
Alz (325).jpg,NI
Alz (326).jpg,Granulação
Alz (327).jpg,NI
Alz (328).jpg,Granulação
Alz (329).jpg,Granulação
Alz (33).jpg,NI
Alz (330).jpg,NI
Alz (34).jpg,NI
Alz (35).jpg,NI
Alz (36).jpg,NI
Alz (37).jpg,NI
Alz (38).jpg,Granulação
Alz (39).jpg,Necrose
Alz (4).jpg,NI
Alz (40).jpg,Granulação
Alz (41).jpg,NI
Alz (42).jpg,Esfacelo
Alz (43).jpg,NI
Alz (44).jpg,NI
Alz (45).jpg,Granulação
Alz (46).jpg,NI
Alz (47).jpg,Esfacelo
Alz (48).jpg,NI
Alz (49).jpg,Necrose
Alz (5).jpg,NI
Alz (50).jpg,NI
Alz (51).jpg,NI
Alz (52).jpg,Granulação
Alz (53).jpg,Granulação
Alz (54).jpg,Granulação
Alz (55).jpg,Granulação
Alz (56).jpg,Necrose
Alz (57).jpg,NI
Alz (58).jpg,NI
Alz (59).jpg,NI
Alz (6).jpg,NI
Alz (60).jpg,NI
Alz (61).jpg,NI
Alz (62).jpg,NI
Alz (63).jpg,NI
Alz (64).jpg,Necrose
Alz (65).jpg,NI
Alz (66).jpg,NI
Alz (67).jpg,NI
Alz (68).jpg,NI
Alz (69).jpg,NI
Alz (7).jpg,NI
Alz (70).jpg,NI
Alz (71).jpg,NI
Alz (72).jpg,NI
Alz (73).jpg,NI
Alz (74).jpg,NI
Alz (75).jpg,NI
Alz (76).jpg,NI
Alz (77).jpg,NI
Alz (78).jpg,NI
Alz (79).jpg,NI
Alz (8).jpg,NI
Alz (80).jpg,Granulação
Alz (81).jpg,NI
Alz (82).jpg,NI
Alz (83).jpg,Granulação
Alz (84).jpg,Esfacelo
Alz (85).jpg,NI
Alz (86).jpg,Esfacelo
Alz (87).jpg,Necrose
Alz (88).jpg,Granulação
Alz (89).jpg,NI
Alz (9).jpg,Necrose
Alz (90).jpg,NI
Alz (91).jpg,Esfacelo
Alz (92).jpg,Granulação
Alz (93).jpg,Granulação
Alz (94).jpg,NI
Alz (95).jpg,Granulação
Alz (96).jpg,Esfacelo
Alz (97).jpg,NI
Alz (98).jpg,NI
Alz (99).jpg,NI
